"","상호명","지점명","상권업종대분류명","상권업종중분류명","상권업종소분류명","행정동명","도로명주소","경도","위도","행정동코드"
"14635","매머드커피역삼GFC점",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 논현로85길 5",127.037042070704,37.4990725302635,1168064000
"14636","오스카다방",NA,"음식","커피점/카페","커피전문점/카페/다방","제기동","서울특별시 동대문구 왕산로 155-1",127.040588128113,37.5789524302964,1123054500
"14637","카페테루아",NA,"음식","커피점/카페","커피전문점/카페/다방","증산동","서울특별시 은평구 증산서길 67",126.905614936096,37.5827339313106,1138064000
"14638","봉트랩",NA,"음식","커피점/카페","커피전문점/카페/다방","명일1동","서울특별시 강동구 구천면로78길 32",127.147022741926,37.548124516222,1174053000
"14639","야미요밀",NA,"음식","커피점/카페","커피전문점/카페/다방","서교동","서울특별시 마포구 양화로7안길 2",126.915190746441,37.5516915109949,1144066000
"14640","런던바니",NA,"음식","커피점/카페","커피전문점/카페/다방","구로3동","서울특별시 구로구 시흥대로163길 18",126.899083789471,37.4817926963045,1153054000
"14641","도니바니애견카페",NA,"음식","커피점/카페","애견카페","상계2동","서울특별시 노원구 상계로 71-1",127.062970103442,37.656630641763,1135064000
"14642","커피에반하다월곡역점","월곡역점","음식","커피점/카페","커피전문점/카페/다방","월곡2동","서울특별시 성북구 화랑로 76",127.040441763055,37.6018196933437,1129072500
"14643","카페르퓌제",NA,"음식","커피점/카페","커피전문점/카페/다방","압구정동","서울특별시 강남구 도산대로37길 33",127.031299191759,37.5233990729528,1168054500
"14644","투썸플레이스포스코사거리점","포스코사거리점","음식","커피점/카페","커피전문점/카페/다방","대치2동","서울특별시 강남구 테헤란로 508",127.05795781871,37.5068100514593,1168061000
"14645","착한커피공장",NA,"음식","커피점/카페","커피전문점/카페/다방","구로3동","서울특별시 구로구 디지털로31길 41",126.89273629885,37.4851573575664,1153054000
"14646","토프레소연신",NA,"음식","커피점/카페","커피전문점/카페/다방","갈현2동","서울특별시 은평구 연서로25길 8",126.917892466233,37.6168250415885,1138055200
"14647","빌리",NA,"음식","커피점/카페","커피전문점/카페/다방","방배1동","서울특별시 서초구 방배중앙로 60",126.990670226735,37.4850254489143,1165060000
"14648","탐앤탐스","문정법조타운점","음식","커피점/카페","커피전문점/카페/다방","문정2동","서울특별시 송파구 법원로11길 11",127.11842366968,37.484759270549,1171064200
"14649","엘지사이언스파크지카페",NA,"음식","커피점/카페","커피전문점/카페/다방","가양1동","서울특별시 강서구 마곡중앙10로 10",126.828702567418,37.5641013348616,1150060300
"14650","스타벅스","올림픽대교북단점","음식","커피점/카페","커피전문점/카페/다방","구의3동","서울특별시 광진구 광나루로 608",127.095252872366,37.541152496608,1121587000
"14651","에스프레소코코","화곡곰달래점","음식","커피점/카페","커피전문점/카페/다방","화곡1동","서울특별시 강서구 곰달래로 53-1",126.83869049981,37.5302580792297,1150054000
"14652","이디야커피","북창동점","음식","커피점/카페","커피전문점/카페/다방","소공동","서울특별시 중구 남대문로1길 57",126.97745429719,37.5636002978218,1114052000
"14653","생활커피","방화역점","음식","커피점/카페","커피전문점/카페/다방","방화3동","서울특별시 강서구 방화대로47가길 7",126.812987004471,37.5765227132468,1150064100
"14654","커피에반하다","강서가양점","음식","커피점/카페","커피전문점/카페/다방","가양3동","서울특별시 강서구 양천로 551-24",126.861935938218,37.5588580025072,1150060500
"14655","파스쿠찌","마곡퀸즈파크나인점","음식","커피점/카페","커피전문점/카페/다방","가양1동","서울특별시 강서구 공항대로 247",126.835117705954,37.559191118332,1150060300
"14656","커핀그루나루","예술의전당점","음식","커피점/카페","커피전문점/카페/다방","서초3동","서울특별시 서초구 반포대로 4",127.01316532553,37.4812147966293,1165053000
"14657","투썸플레이스CGV상봉점","CGV상봉점","음식","커피점/카페","커피전문점/카페/다방","상봉2동","서울특별시 중랑구 상봉로 131",127.092160160487,37.5973992617148,1126059000
"14658","쥬씨",NA,"음식","커피점/카페","커피전문점/카페/다방","도봉1동","서울특별시 도봉구 도봉로 821",127.044747379876,37.6777578241913,1132052100
"14659","죠스샌드위치앤커피카메라",NA,"음식","커피점/카페","커피전문점/카페/다방","대치2동","서울특별시 강남구 테헤란로108길 11",127.066157275422,37.5086862820348,1168061000
"14660","엔제리너스명동L7호텔점","명동L7호텔점","음식","커피점/카페","커피전문점/카페/다방","명동","서울특별시 중구 퇴계로 137",126.98695830257,37.5613935842732,1114055000
"14661","이디야커피","대흥역점","음식","커피점/카페","커피전문점/카페/다방","대흥동","서울특별시 마포구 백범로 100",126.94236626696,37.547495934358,1144060000
